canonical_id,openalex_id,doi,title,year,publication_date,venue,work_type,cited_by,category,label_source,fig_include,class_score,margin,seed_sim,needs_review,review_reason,source,abstract,llm_relevant,llm_class,llm_subtopic,llm_confidence,llm_reason,llm_decision,llm_model,llm_prompt_version,llm_reviewed_at
title:acosteffectiveframeworkforautomatedvehiclepedestriannearmissdetectionthroughonboardmonocularvision,W2736402913,,A Cost-Effective Framework for Automated Vehicle-Pedestrian Near-Miss Detection Through Onboard Monocular Vision,2017,,,,26,Trajectory-related,groundtruth,1,,,,False,,seed,Onboard monocular cameras have been widely deployed in both public transit and personal vehicles. Obtaining vehicle-pedestrian near-miss event data from onboard monocular vision systems may be cost-effective compared with onboard multiple-sensor systems or traffic surveillance videos. But extracting near-misses from onboard monocular vision is challenging and little work has been published. This paper fills the gap by developing a framework to automatically detect vehicle-pedestrian near-misses through onboard monocular vision. The proposed framework can estimate depth and real-world motion information through monocular vision with a moving video background. The experimental results based on processing over 30-hours video data demonstrate the ability of the system to capture near-misses by comparison with the events logged by the Rosco/MobilEye Shield+ system which includes four cameras working cooperatively. The detection overlap rate reaches over 90% with the thresholds properly set.,,,,,,,,,
title:aquantitativemethodtodeterminewhatcollisionsarereasonablyforeseeableandpreventable,W4385506450,10.1016/j.ssci.2023.106233,A quantitative method to determine what collisions are reasonably foreseeable and preventable,2023,,Safety Science,,7,Trajectory-related,groundtruth,1,,,,False,,seed,,,,,,,,,,
title:computingbehavioralrelationsforprobabilisticconcurrentsystems,W106195609,10.1007/978-3-662-45489-3_5,Computing Behavioral Relations for Probabilistic Concurrent Systems,2012,,"Stochastic Model Checking. Rigorous Dependability Analysis Using Model
Checking Techniques for Stochastic Systems - International Autumn
School, {ROCKS} 2012, Vahrn, Italy, October 22-26, 2012, Advanced
Lectures",,7,Knowledge-driven,predicted,0,,,,False,,seed,,,,,,,,,,
title:areviewofsurrogatesafetymeasuresandtheirapplicationsinconnectedandautomatedvehiclessafetymodeling,W3161651929,10.1016/j.aap.2021.106157,A review of surrogate safety measures and their applications in connected and automated vehicles safety modeling,2021,,Accident Analysis {\&} Prevention,,435,Trajectory-related,groundtruth,1,,,,False,,seed,,,,,,,,,,
title:asituationandthreatassessmentalgorithmforarearendcollisionavoidancesystem,W2109086258,10.1109/ivs.2008.4621250,A situation and threat assessment algorithm for a rear-end collision avoidance system,2008,,2008 IEEE Intelligent Vehicles Symposium,,52,Trajectory-related,groundtruth,1,,,,False,,seed,"Rear-end collisions are common accident scenarios and a frequent cause of these accidents is driver distraction. This paper presents a situation assessment (SA) algorithm that estimates driver distraction by continuously assessing the steering actions of the driver. A collision avoidance (CA) system is proposed, which combines the SA with a threat assessment (TA) algorithm that estimates the effort needed to avoid a collision. It is shown that the SA algorithm proposed enables the CA system to initiate earlier brake interventions when the driver is assessed as being distracted, without significantly increasing the risk of false interventions in real traffic. The CA system has been evaluated in both collision situations on a test track and during 200 driving hours in real traffic conditions.",,,,,,,,,
title:asurveyofvisionbasedtrajectorylearningandanalysisforsurveillance,W2133235827,10.1109/tcsvt.2008.927109,A survey of vision-based trajectory learning and analysis for surveillance,2008,,IEEE Transactions on Circuits and Systems for Video Technology,,472,Trajectory-related,groundtruth,1,,,,False,,seed,"This paper presents a survey of trajectory-based activity analysis for visual surveillance. It describes techniques that use trajectory data to define a general set of activities that are applicable to a wide range of scenes and environments. Events of interest are detected by building a generic topographical scene description from underlying motion structure as observed over time. The scene topology is automatically learned and is distinguished by points of interest and motion characterized by activity paths. The methods we review are intended for real-time surveillance through definition of a diverse set of events for further analysis triggering, including virtual fencing, speed profiling, behavior classification, anomaly detection, and object interaction.",,,,,,,,,
title:asystematicmappingreviewofsurrogatesafetyassessmentusingtrafficconflicttechniques,W3131573665,10.1016/j.aap.2021.106016,A Systematic Mapping Review of Surrogate Safety Assessment Using Traffic Conflict Techniques,2021,,Accident Analysis {\&} Prevention,,282,Trajectory-related,groundtruth,1,,,,False,,seed,,,,,,,,,,
title:atheoreticalfoundationofintelligencetestinganditsapplicationforintelligentvehicles,W3032950445,10.1109/tits.2020.2991039,A Theoretical Foundation of Intelligence Testing and Its Application for Intelligent Vehicles,2021,,IEEE Transactions on Intelligent Transportation Systems,,66,Trajectory-related,groundtruth,1,,,,False,,seed,"Intelligent vehicle testing received quickly increasing attention due to the intermittent accidents of intelligent vehicle prototypes that occurred recently. In this paper, we investigate the theoretical underpinnings of such testing and establish a rigid analyzing framework for general intelligence testing problems by borrowing the ideas of Probably Approximately Correct (PAC) learning. Our focus is on the relationship between the number of sampled scenarios and the testing efficiency. We explain various existing algorithms within this new framework and clarify some misconceptions about the reasoning underpinning these methods. We show that intelligent vehicles are testable if the testing scenarios are well defined and appropriately sampled. Moreover, we propose a sampling strategy to generate new challenging scenarios to boost testing efficiency.",,,,,,,,,
title:acceleratedevaluationofautomatedvehiclesincarfollowingmaneuvers,W2511072509,10.1109/tits.2017.2701846,Accelerated Evaluation of Automated Vehicles in Car-Following Maneuvers,2018,,IEEE Transactions on Intelligent Transportation Systems,,246,Trajectory-related,groundtruth,1,,,,False,,seed,"The safety of automated vehicles (AVs) must be assured before their release and deployment. The current approach to evaluation relies primarily on 1) testing AVs on public roads or 2) track testing with scenarios defined in a test matrix. These two methods have completely opposing drawbacks: the former, while offering realistic scenarios, takes too much time to execute and the latter, though it can be completed in a short amount of time, has no clear correlation to safety benefits in the real world. To avoid the aforementioned problems, we propose accelerated evaluation, focusing on the car-following scenario. The stochastic human-controlled vehicle (HV) motions are modeled based on 1.3 million miles of naturalistic driving data collected by the University of Michigan Safety Pilot Model Deployment Program. The statistics of the HV behaviors are then modified to generate more intense interactions between HVs and AVs to accelerate the evaluation procedure. The importance sampling theory was used to ensure that the safety benefits of AVs are accurately assessed under accelerated tests. Crash, injury and conflict rates for a simulated AV are simulated to demonstrate the proposed approach. Results show that test duration is reduced by a factor of 300 to 100 000 compared with the non-accelerated (naturalistic) evaluation. In other words, the proposed techniques have great potential for accelerating the AV evaluation process.",,,,,,,,,
title:acceleratedtestingforautomatedvehiclessafetyevaluationincutinscenariosbasedonimportancesamplinggeneticalgorithmandsimulationapplications,W2885911069,10.1108/jicv-01-2018-0002,"Accelerated testing for automated vehicles safety evaluation in cut-in scenarios based on importance sampling, genetic algorithm and simulation applications",2018,,Journal of Intelligent and Connected Vehicles,,33,Trajectory-related,groundtruth,1,,,,False,,seed,"Purpose It would take billions of miles’ field road testing to demonstrate that the safety of automated vehicle is statistically significantly higher than the safety of human driving because that the accident of vehicle is rare event. Design/methodology/approach This paper proposes an accelerated testing method for automated vehicles safety evaluation based on improved importance sampling (IS) techniques. Taking the typical cut-in scenario as example, the proposed method extracts the critical variables of the scenario. Then, the distributions of critical variables are statistically fitted. The genetic algorithm is used to calculate the optimal IS parameters by solving an optimization problem. Considering the error of distribution fitting, the result is modified so that it can accurately reveal the safety benefits of automated vehicles in the real world. Findings Based on the naturalistic driving data in Shanghai, the proposed method is validated by simulation. The result shows that compared with the existing methods, the proposed method improves the test efficiency by 35 per cent, and the accuracy of accelerated test result is increased by 23 per cent. Originality/value This paper has three contributions. First, the genetic algorithm is used to calculate IS parameters, which improves the efficiency of test. Second, the result of test is modified by the error correction parameter, which improves the accuracy of test result. Third, typical high-risk cut-in scenarios in China are analyzed, and the proposed method is validated by simulation.",,,,,,,,,
title:advancinginvestigationofautomatedvehiclecrashesusingtextanalyticsofcrashnarrativesandbayesiananalysis,W4312199925,,Advancing investigation of automated vehicle crashes using text analytics of crash narratives and Bayesian analysis,2023,,Accident Analysis {\&} Prevention,,41,Knowledge-driven,predicted,0,,,,False,,seed,,,,,,,,,,
title:anatomyofarobotaxicrashlessonsfromthecruisepedestriandraggingmishap,W4402338905,,Anatomy of a Robotaxi Crash: Lessons from the Cruise Pedestrian Dragging Mishap,2023,,,,9,Trajectory-related,predicted,0,,,,False,,seed,,,,,,,,,,
title:anomalydetectionasurvey,W2122646361,10.1145/1541880.1541882,Anomaly detection: A survey,2009,,ACM Comput. Surv.,,11048,Perception-related,predicted,0,,,,False,,seed,"Anomaly detection is an important problem that has been researched within diverse research areas and application domains. Many anomaly detection techniques have been specifically developed for certain application domains, while others are more generic. This survey tries to provide a structured and comprehensive overview of the research on anomaly detection. We have grouped existing techniques into different categories based on the underlying approach adopted by each technique. For each category we have identified key assumptions, which are used by the techniques to differentiate between normal and anomalous behavior. When applying a given technique to a particular domain, these assumptions can be used as guidelines to assess the effectiveness of the technique in that domain. For each category, we provide a basic anomaly detection technique, and then show how the different existing techniques in that category are variants of the basic technique. This template provides an easier and more succinct understanding of the techniques belonging to each category. Further, for each category, we identify the advantages and disadvantages of the techniques in that category. We also provide a discussion on the computational complexity of the techniques since it is an important issue in real application domains. We hope that this survey will provide a better understanding of the different directions in which research has been done on this topic, and how techniques developed in one area can be applied in domains for which they were not intended to begin with.",,,,,,,,,
title:assessmentofautomateddrivingsystemsusingreallifescenarios,W2739735772,10.1109/ivs.2017.7995782,Assessment of Automated Driving Systems using real-life scenarios,2017,,"IEEE Intelligent Vehicles Symposium, Proceedings",,107,Trajectory-related,groundtruth,1,,,,False,,seed,"More and more Advanced Driver Assistance Systems (ADAS) are entering the market for improving both safety and comfort by assisting the driver with their driving task. An important aspect in developing future ADAS and Automated Driving Systems (ADS) is testing and validation. Validating the failure rate of an ADS requires so many operational hours that testing in real time is almost impossible. One way to reduce this test load is virtual testing or hardware in-the-loop testing. The major challenge is to create realistic test cases that closely resemble the situation on the road. We present a way to use data of naturalistic driving to generate test cases for Monte-Carlo simulations of ADS. Because real-life data is used, the assessment allows to draw conclusions on how the ADS would perform in real traffic. The method, developed in EU AdaptIVe, is demonstrated by testing an Adaptive Cruise Control (ACC) system in scenarios where the predecessor of the ego vehicle is braking. We show that the probability of the occurrence of unsafe situations with the ACC system can be accurately and efficiently determined.",,,,,,,,,
title:automaticgenerationofsafetycriticaltestscenariosforcollisionavoidanceofroadvehicles,W2891056855,10.1109/ivs.2018.8500374,Automatic Generation of Safety-Critical Test Scenarios for Collision Avoidance of Road Vehicles,2018,,2018 IEEE Intelligent Vehicles Symposium (IV),,135,Trajectory-related,groundtruth,1,,,,False,,seed,"It is apparent that one cannot rely solely on physical test drives for ensuring the correct functionality of autonomous vehicles. Since physical test drives are costly and time consuming, it is advantageous to accompany them with computer simulations. However, since most traffic scenarios are not challenging, even simulations are often too time consuming. To address this issue, we present an approach that creates automatically critical driving situations, i.e., situations with a small solution space for avoiding a collision. Our approach combines reachability analysis for determining the size of the solution space with optimization techniques to shrink it. The solution space is reduced by shifting the initial states of traffic participants, demanding an immediate and correct action of the vehicle under test. We demonstrate our approach by automatically increasing the criticality of several initially uncritical situations recorded from real traffic.",,,,,,,,,
title:comparingcollisionthreatmeasuresforverificationofautonomousvehiclesusingextremevaluetheory,W2509695072,10.1016/j.ifacol.2016.07.709,Comparing Collision Threat Measures for Verification of Autonomous Vehicles using Extreme Value Theory,2016,,IFAC-PapersOnLine,,22,Trajectory-related,groundtruth,1,,,,False,,seed,"The verification of safety is expected to be one of the largest challenges in the commercialization of autonomous vehicles. Using traditional methods would require infeasible time and resources. Recent research has shown the possibility of using near-collisions in order to estimate the frequency of actual collisions using Extreme Value Theory. However, little research has been done on how the measure for determining the closeness to a collision affect the result of the estimation. This paper compares a collision-based measure against one that relates to an inevitable collision state. The result shows that using inevitable collision states is more robust and that more research needs to be made into measures of collision proximity.",,,,,,,,,
title:cornercasegenerationandanalysisforsafetyassessmentofautonomousvehicles,W3179903080,,Corner case generation and analysis for safety assessment of autonomous vehicles,2021,,Transportation research record,,47,Assessment,groundtruth,1,,,,False,,seed,"Testing and evaluation is a crucial step in the development and deployment of connected and automated vehicles (CAVs). To comprehensively evaluate the performance of CAVs, it is necessary to test the CAVs in safety-critical scenarios, which rarely happen in a naturalistic driving environment. Therefore, how to purposely and systematically generate these corner cases becomes an important problem. Most existing studies focus on generating adversarial examples for perception systems of CAVs, whereas limited efforts have been put into decision-making systems, which is the highlight of this paper. As the CAVs need to interact with numerous background vehicles (BVs) for a long duration, variables that define the corner cases are usually high-dimensional, which makes the generation a challenging problem. In this paper, a unified framework is proposed to generate corner cases for decision-making systems. To address the challenge brought by high dimensionality, the driving environment is formulated based on the Markov decision process, and the deep reinforcement learning techniques are applied to learn the behavior policy of BVs. With the learned policy, BVs behave and interact with the CAVs more aggressively, resulting in more corner cases. To further analyze the generated corner cases, the techniques of feature extraction and clustering are utilized. By selecting representative cases of each cluster and outliers, the valuable corner cases can be identified from all generated corner cases. Simulation results of a highway driving environment show that the proposed methods can effectively generate and identify the valuable corner cases.",,,,,,,,,
