canonical_id,openalex_id,doi,title,year,publication_date,venue,work_type,cited_by,category,class_score,margin,seed_sim,rank_score,needs_review,review_reason,source,matched_query,llm_relevant,llm_class,llm_subtopic,llm_confidence,llm_reason,llm_decision,llm_model,llm_prompt_version,llm_reviewed_at
title:perceptiondatasetsforanomalydetectioninautonomousdrivingasurvey,W4319453531,10.48550/arxiv.2302.02790,Perception Datasets for Anomaly Detection in Autonomous Driving: A Survey,2023,2023-02-06,arXiv (Cornell University),preprint,2,Perception-related,0.7537,0.3195,0.8047,0.8047,False,,auto-discovered,"""corner case"" ""autonomous driving""",,,,,,,,,
title:ad4adbenchmarkingvisualanomalydetectionmodelsforsaferautonomousdriving,W7154865595,,AD4AD: Benchmarking Visual Anomaly Detection Models for Safer Autonomous Driving,2026,2026-04-16,arXiv (Cornell University),preprint,0,Perception-related,0.8036,0.4375,0.7725,0.8025,True,current-year zero-citation preprint; current-year missing DOI,auto-discovered,"""rare event"" ""autonomous driving""",,,,,,,,,
title:bridgingdatadrivenandknowledgedrivenapproachesforsafetycriticalscenariogenerationinautomatedvehiclevalidation,W4388890750,10.48550/arxiv.2311.10937,Bridging Data-Driven and Knowledge-Driven Approaches for Safety-Critical Scenario Generation in Automated Vehicle Validation,2023,2023-11-18,arXiv (Cornell University),preprint,1,Knowledge-driven,0.8288,0.5085,0.7722,0.7722,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving""",,,,,,,,,
title:explainablesafetyargumentationforthedeploymentofautomatedvehicles,W4404613974,10.3390/electronics13234606,Explainable Safety Argumentation for the Deployment of Automated Vehicles,2024,2024-11-22,Electronics,article,3,Trajectory-related,0.7601,0.4414,0.7599,0.7699,False,,auto-discovered,"""edge case"" ""automated driving""",,,,,,,,,
title:atestingandevaluationmethodforthecarfollowingmodelsofautomatedvehiclesbasedondrivingsimulator,W4401512537,10.3390/systems12080298,A Testing and Evaluation Method for the Car-Following Models of Automated Vehicles Based on Driving Simulator,2024,2024-08-12,Systems,article,8,Trajectory-related,0.7433,0.4343,0.7576,0.7676,False,,auto-discovered,"""surrogate safety"" ""autonomous driving""",,,,,,,,,
title:adversarialgenerationandcollaborativeevolutionofsafetycriticalscenariosforautonomousvehicles,W4415239881,10.48550/arxiv.2508.14527,Adversarial Generation and Collaborative Evolution of Safety-Critical Scenarios for Autonomous Vehicles,2025,2025-08-20,arXiv (Cornell University),preprint,0,Trajectory-related,0.7011,0.3694,0.7453,0.7653,False,,auto-discovered,"""safety-critical scenario"" ""autonomous vehicle""",,,,,,,,,
title:protocolfortheextractionofsafetycriticalautomateddrivingscenarios,W7163397734,10.2139/ssrn.6864939,Protocol for the Extraction of Safety Critical Automated Driving Scenarios,2026,2026-01-01,SSRN Electronic Journal,preprint,0,Knowledge-driven,0.8034,0.4103,0.7351,0.7651,False,,auto-discovered,"""corner case"" ""automated driving""",,,,,,,,,
title:ldscenellmguideddiffusionforcontrollablegenerationofadversarialsafetycriticaldrivingscenarios,W4413241602,10.1016/j.trc.2026.105694,LD-scene: LLM-guided diffusion for controllable generation of adversarial safety-critical driving scenarios,2026,2026-04-10,Transportation Research Part C Emerging Technologies,article,1,Trajectory-related,0.653,0.3661,0.7337,0.7637,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving""",,,,,,,,,
title:automatedvehiclesatunsignalizedintersectionssafetyandefficiencyimplicationsofmixedhumanandautomatedtraffic,W4403578311,10.48550/arxiv.2410.12538,Automated Vehicles at Unsignalized Intersections: Safety and Efficiency Implications of Mixed Human and Automated Traffic,2024,2024-10-16,arXiv (Cornell University),preprint,2,Trajectory-related,0.6916,0.2553,0.7537,0.7637,False,,auto-discovered,"""surrogate safety"" ""automated vehicle""",,,,,,,,,
title:aknowledgeaugmenteddatasetofhighriskdrivingscenarioswithllmannotationsforautonomousdriving,W7167981555,,A knowledge-augmented dataset of high-risk driving scenarios with LLM annotations for autonomous driving,2026,2026-07-08,arXiv (Cornell University),preprint,0,Knowledge-driven,0.732,0.3933,0.7275,0.7575,True,current-year zero-citation preprint; current-year missing DOI,auto-discovered,"""surrogate safety"" ""autonomous driving""",,,,,,,,,
title:safegengoalconditionedvideodiffusionofsafetycriticalscenariosforvlmbasedautonomousdriving,W7170989167,,SafeGen: Goal-Conditioned Video Diffusion of Safety-Critical Scenarios for VLM-Based Autonomous Driving,2026,2026-07-22,arXiv (Cornell University),preprint,0,Trajectory-related,0.7199,0.4087,0.7256,0.7556,True,current-year zero-citation preprint; current-year missing DOI,auto-discovered,"""safety-critical scenario"" ""self-driving""",,,,,,,,,
title:generatingcriticalscenariosfortestingautomateddrivingsystems,W4405056839,10.48550/arxiv.2412.02574,Generating Critical Scenarios for Testing Automated Driving Systems,2024,2024-12-03,arXiv (Cornell University),preprint,0,Trajectory-related,0.7088,0.2774,0.7432,0.7532,False,,auto-discovered,"""edge case"" ""automated driving""",,,,,,,,,
