canonical_id,openalex_id,doi,title,year,publication_date,venue,work_type,cited_by,category,class_score,margin,seed_sim,rank_score,needs_review,review_reason,source,matched_query
title:identificationofriskscenarioparametersutilizinganearmissincidentdatabaseforsafetyassessmentofautonomousdrivingsystems,W4416184243,10.1109/iavvc61942.2025.11219497,Identification of Risk Scenario Parameters Utilizing a Near-Miss Incident Database for Safety Assessment of Autonomous Driving Systems,2025,,,,0,Knowledge-driven,0.8414,0.4003,0.7612,0.7812,False,,auto-discovered,"""near-miss"" ""autonomous driving"""
title:bridgingdatadrivenandknowledgedrivenapproachesforsafetycriticalscenariogenerationinautomatedvehiclevalidation,W4388890750,10.48550/arxiv.2311.10937,Bridging Data-Driven and Knowledge-Driven Approaches for Safety-Critical Scenario Generation in Automated Vehicle Validation,2023,,arXiv (Cornell University),,1,Knowledge-driven,0.8229,0.5027,0.7722,0.7722,False,,auto-discovered,"""safety-critical scenario"" ""automated driving"""
title:genericontologyandframeworkforcriticalscenariodescriptionandgenerationappliedtoevaluationandvalidationofautomatedvehicle,W4391505059,10.1109/itsc57777.2023.10421937,Generic Ontology and Framework for Critical Scenario Description and Generation. Applied to Evaluation and Validation of Automated Vehicle,2023,,,,3,Knowledge-driven,0.8216,0.4758,0.7713,0.7713,False,,auto-discovered,"""safety-critical scenario"" ""automated driving"""
title:scenariometricsforthesafetyassuranceframeworkofautomatedvehiclesareviewofitsapplication,W4414209257,10.3390/vehicles7030100,Scenario Metrics for the Safety Assurance Framework of Automated Vehicles: A Review of Its Application,2025,,Vehicles,,2,Knowledge-driven,0.708,0.431,0.7231,0.7431,False,,auto-discovered,"""near-miss"" ""automated driving"""
title:industrypracticesforchallengingautonomousdrivingsystemswithcriticalscenarios,W4390751909,10.1145/3640334,Industry Practices for Challenging Autonomous Driving Systems with Critical Scenarios,2024,,ACM Transactions on Software Engineering and Methodology,,15,Knowledge-driven,0.7376,0.3615,0.7282,0.7382,False,,auto-discovered,"""critical scenario"" ""autonomous driving"""
title:automaticgenerationofscenariosforsystemlevelsimulationbasedverificationofautonomousdrivingsystems,W4388699043,10.4204/eptcs.395.8,Automatic Generation of Scenarios for System-level Simulation-based Verification of Autonomous Driving Systems,2023,,Electronic Proceedings in Theoretical Computer Science,,13,Knowledge-driven,0.6958,0.3488,0.736,0.736,False,,auto-discovered,"""scenario generation"" ""automated driving"""
title:simulationbasedlogicalscenariogenerationandanalysismethodologyforevaluationofautonomousdrivingsystems,W4408181511,10.1109/access.2025.3548906,Simulation-Based Logical Scenario Generation and Analysis Methodology for Evaluation of Autonomous Driving Systems,2025,,IEEE Access,,2,Knowledge-driven,0.7005,0.3434,0.7118,0.7318,False,,auto-discovered,"""scenario generation"" ""autonomous driving"""
title:integratingdatadrivenandknowledgedrivenmethodologiesforsafetycriticalscenariogenerationinautonomousvehiclevalidation,W4403864808,10.1109/qrs-c63300.2024.00129,Integrating Data-Driven and Knowledge-Driven Methodologies for Safety-Critical Scenario Generation in Autonomous Vehicle Validation,2024,,,,3,Knowledge-driven,0.738,0.3868,0.712,0.722,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
title:realisticcornercasegenerationforautonomousvehicleswithmultimodallargelanguagemodel,W4417491018,10.26599/tst.2025.9010178,Realistic Corner Case Generation for Autonomous Vehicles with Multimodal Large Language Model,2025,,Tsinghua Science & Technology,,0,Knowledge-driven,0.6897,0.3683,0.7014,0.7214,False,,auto-discovered,"""corner case"" ""autonomous vehicle"""
title:graspingcausalityfortheexplanationofcriticalityforautomateddriving,W4408859486,10.1109/access.2025.3555177,Grasping Causality for the Explanation of Criticality for Automated Driving,2025,,IEEE Access,,3,Knowledge-driven,0.7489,0.3964,0.7,0.72,False,,auto-discovered,"""critical scenario"" ""automated driving"""
title:oddandbehaviorbasedscenariogenerationforautomateddrivingsystems,W4390604444,10.1109/access.2024.3350512,ODD and Behavior Based Scenario Generation for Automated Driving Systems,2024,,IEEE Access,,19,Knowledge-driven,0.6728,0.3907,0.707,0.717,False,,auto-discovered,"""rare event"" ""automated driving"""
title:ontologybasedscenariogenerationforautomateddrivingsystemsverificationandvalidationusingrulesoftheroad,W4392796583,10.1109/tiv.2024.3377534,Ontology-based Scenario Generation for Automated Driving Systems Verification and Validation using Rules of the Road,2024,,IEEE Transactions on Intelligent Vehicles,,9,Knowledge-driven,0.6768,0.5118,0.7051,0.7151,False,,auto-discovered,"""scenario generation"" ""automated driving"""
title:acquiredrivingscenariosefficientlyaframeworkforprospectiveassessmentofcostoptimalscenarioacquisition,W4391769541,10.1109/itsc57777.2023.10422027,Acquire Driving Scenarios Efficiently: A Framework for Prospective Assessment of Cost-Optimal Scenario Acquisition,2023,,,,6,Knowledge-driven,0.6763,0.3715,0.712,0.712,False,,auto-discovered,"""scenario generation"" ""automated driving"""
title:perceptiondatasetsforanomalydetectioninautonomousdrivingasurvey,W4385312751,10.1109/iv55152.2023.10186609,Perception Datasets for Anomaly Detection in Autonomous Driving: A Survey,2023,,,,20,Perception-related,0.7483,0.3141,0.8047,0.8047,False,,auto-discovered,"""anomaly detection"" ""autonomous driving"""
title:syntheticoutliergenerationforanomalydetectioninautonomousdriving,W4391768484,10.1109/itsc57777.2023.10422167,Synthetic Outlier Generation for Anomaly Detection in Autonomous Driving,2023,,,,1,Perception-related,0.7662,0.3938,0.8033,0.8033,False,,auto-discovered,"""anomaly detection"" ""autonomous driving"""
title:spottingtheunexpectedstua3dlidardatasetforanomalysegmentationinautonomousdriving,W4413146229,10.1109/cvpr52734.2025.01109,Spotting the Unexpected (STU): A 3D LiDAR Dataset for Anomaly Segmentation in Autonomous Driving,2025,,,,1,Perception-related,0.6518,0.3376,0.7695,0.7895,False,,auto-discovered,"""anomaly detection"" ""autonomous vehicle"""
title:roadobstacledetectionbasedonunknownobjectnessscores,W4401415224,10.1109/icra57147.2024.10610249,Road Obstacle Detection based on Unknown Objectness Scores,2024,,,,3,Perception-related,0.7439,0.3994,0.7549,0.7649,False,,auto-discovered,"""anomaly detection"" ""autonomous driving"""
title:oodisanomalyinstancesegmentationanddetectionbenchmark,W4413926174,10.1109/icra55743.2025.11128111,OoDIS: Anomaly Instance Segmentation and Detection Benchmark,2025,,,,2,Perception-related,0.7404,0.4797,0.7369,0.7569,False,,auto-discovered,"""out-of-distribution"" ""self-driving"""
title:anomalypixeldetectionviadualbranchuncertaintymetrics,W4386171490,10.1088/1742-6596/2560/1/012005,Anomaly Pixel Detection via Dual-Branch Uncertainty Metrics,2023,,Journal of Physics Conference Series,,1,Perception-related,0.7697,0.5023,0.7496,0.7496,False,,auto-discovered,"""anomaly detection"" ""autonomous driving"""
title:denseoutofdistributiondetectionbyrobustlearningonsyntheticnegativedata,W4391843787,10.3390/s24041248,Dense Out-of-Distribution Detection by Robust Learning on Synthetic Negative Data,2024,,Sensors,,12,Perception-related,0.7969,0.4414,0.7339,0.7439,False,,auto-discovered,"""out-of-distribution"" ""self-driving"""
title:groodgradientawareoutofdistributiondetection,W4390214551,10.48550/arxiv.2312.14427,GROOD: GRadient-Aware Out-of-Distribution Detection,2023,,arXiv (Cornell University),,0,Perception-related,0.7727,0.5278,0.7379,0.7379,False,,auto-discovered,"""novelty detection"" ""self-driving"""
title:anovoxabenchmarkformultimodalanomalydetectioninautonomousdriving,W4396914065,10.48550/arxiv.2405.07865,AnoVox: A Benchmark for Multimodal Anomaly Detection in Autonomous Driving,2024,,arXiv (Cornell University),,1,Perception-related,0.7288,0.3228,0.7247,0.7347,False,,auto-discovered,"""anomaly detection"" ""autonomous driving"""
